"id","titulo_projeto","motor","categorias"
"CNPQ-100186/2021-1","Transporte de umidade desde o Atlântico Sul e sua relação com os eventos extremos climáticos na Bacia do Prata","Transporte de umidade desde o Atlantico Sul e sua relacao com os eventos extremos climaticos na Bacia do Prata Geociencias Climatologia","7.1"
"CNPQ-100683/2021-5","EFEITO DO TRATAMENTO CONSERVADOR NA SÍNDROME DOLOROSA DO GRANDE TROCANTER: UMA REVISÃO SISTEMÁTICA E METANÁLISE","EFEITO DO TRATAMENTO CONSERVADOR NA SINDROME DOLOROSA DO GRANDE TROCANTER: UMA REVISAO SISTEMATICA E METANALISE Divulgacao Cientifica Divulgacao Cientifica","1.3"
"CNPQ-100831/2021-4","Avaliação da ação inseticida de compostos majoritários de óleos essenciais contra o Triatoma infestans, vetor da Doença de Chagas","Avaliacao da acao inseticida de compostos majoritarios de oleos essenciais contra o Triatoma infestans, vetor da Doenca de Chagas Biologia Geral Biologia Geral","2.1"
"CNPQ-100933/2021-1","A SAÚDE DOS TRABALHADORES DA SAÚDE NO CONTEXTO DA PANDEMIA DO COVID-19: PREVENÇÃO E CUIDADO","A SAUDE DOS TRABALHADORES DA SAUDE NO CONTEXTO DA PANDEMIA DO COVID-19: PREVENCAO E CUIDADO Ciencia da Computacao Sistemas de Informacao","1.3"
"CNPQ-101598/2022-0","Filmes de quitosana contendo óleo essencial de pau rosa Aniba rosaeodora var amazonica Ducke) para aplicação como máscaras faciais antienvelhecimento","Filmes de quitosana contendo oleo essencial de pau rosa Aniba rosaeodora var amazonica Ducke) para aplicacao como mascaras faciais antienvelhecimento Quimica Quimica Organica","2.1"
"CNPQ-101976/2021-6","Técnicas em ondas mili/microestruturadas para interação luz-matéria, espalhamento eletromagnético e displays holográficos","Tecnicas em ondas mili/microestruturadas para interacao luz-materia, espalhamento eletromagnetico e displays holograficos Engenharia Eletrica Teoria Eletromagnetica, Microondas, Propagacao de Ondas, Antenas","3.3"
"CNPQ-102879/2019-2","Análise de extremos climáticos de precipitação e temperatura do ar para a América do Sul através de projeções climáticas regionais em alta resolução","Analise de extremos climaticos de precipitacao e temperatura do ar para a America do Sul atraves de projecoes climaticas regionais em alta resolucao Geociencias Climatologia","7.1"
"CNPQ-103525/2019-0","Biogeoquímica de elementos terras raras em solos originados de diferentes materiais de origem ao longo de uma climosequência do semiárido ao clima","Biogeoquimica de elementos terras raras em solos originados de diferentes materiais de origem ao longo de uma climosequencia do semiarido ao clima Agronomia Quimica do Solo","7.1"
"CNPQ-103525/2019-0","Biogeoquímica de elementos terras raras em solos originados de diferentes materiais de origem ao longo de uma climosequência do semiárido ao clima","Biogeoquimica de elementos terras raras em solos originados de diferentes materiais de origem ao longo de uma climosequencia do semiarido ao clima  Agronomia Quimica do Solo","7.1"
"CNPQ-103549/2022-6","REVISITANDO O BREJO DE ALTITUDE DE TAQUARITINGA DO NORTE-PE: A DIVERSIDADE ESCONDIDA DE FUNGOS MUCORALES FR.","REVISITANDO O BREJO DE ALTITUDE DE TAQUARITINGA DO NORTE-PE: A DIVERSIDADE ESCONDIDA DE FUNGOS MUCORALES FR.  Microbiologia Biologia e Fisiologia dos Microorganismos","1.3"
"CNPQ-103621/2022-9","Estratégias para extração, determinação e avaliação da mobilidade de metais, arsênio e enxofre em resíduos da indústria de óleo e gás","Estrategias para extracao, determinacao e avaliacao da mobilidade de metais, arsenio e enxofre em residuos da industria de oleo e gas Quimica Quimica Analitica","2.1"
"CNPQ-104052/2020-1","Expressão e análise estrutural do peptídeo PaDBS1R1 como estratégia no desenvolvimento de novos antimicrobianos para o controle  da diarreia aviaria","Expressao e analise estrutural do peptideo PaDBS1R1 como estrategia no desenvolvimento de novos antimicrobianos para o controle  da diarreia aviaria Biotecnologia Novas Drogas Terapeuticas","2.1"
"CNPQ-104465/2021-2","Análise, estudo e concepção de topologias de módulos integrados CA de alto desempenho aplicados a sistemas fotovoltaicos.","Analise, estudo e concepcao de topologias de modulos integrados CA de alto desempenho aplicados a sistemas fotovoltaicos. Engenharia Eletrica Eletronica Industrial","3.1"
"CNPQ-104808/2022-5","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Científico do Instituto Evandro Chagas-IEC","Apoio aos Programas Institucionais de Bolsas de PIBIC, Mestrado e Doutorado para Fortalecimento Cientifico do Instituto Evandro Chagas-IEC Microbiologia Virologia","2.1"
"CNPQ-113108/2022-2","Finos de carvão vegetal como alternativa de reforço para matrizes poliméricas","Finos de carvao vegetal como alternativa de reforco para matrizes polimericas Recursos Florestais e Engenharia Florestal Tecnologia e Utilizacao de Produtos Florestais","2.2"
"CNPQ-114481/2022-9","Transformação de fase em superligas à base de níquel","Transformacao de fase em superligas a base de niquel Fisica Propriedades Mecanicas e Acusticas da Materia Condensada","2.1"
