"id","cat1","cat2","nm_categoria","dsc_categoria","palavras_chave"
1,"1","1.1","Tecnologias de Eficiência Energética aplicadas à Industria","Tecnologias de Eficiência Energética aplicadas à Industria:  procedimentos de montagem, processos industriais, equipamentos e sistemas; análise de ciclo de vida;","motor*; “máquina* elétrica*”; equipamento*; “sistema* elétrico*”; aparelho*;etiquetagem; metrologia; “processo* indústria*” & “eficiência energética”;"
2,"1","1.2","Tecnologias de Eficiência Energética aplicada a residências e estabelecimentos comerciais","Tecnologias de Eficiência Energética aplicada a residências e estabelecimentos comerciais, equipamentos usados em residências e prédios comerciais (iluminação, refrigeração, aquecimento, eletrodomésticos e outros aparelhos elétricos e eletrônicos; baterias para uso residencial ou comercial)","“conforto térmico”; edifício*; edificaç*; “conforto ambiental”; habitaç*; iluminação; lâmpada*; LED; resfriamento; refrigeração; compressores; “bomba de calor”"
3,"1","1.3","Tecnologias de Eficiência Energética aplicadas ao setor de transporte rodoviário","Tecnologias de Eficiência Energética aplicadas ao setor de transporte rodoviário (baterias de veículos, veículos elétricos, híbridos, infraestrutura de carro elétrico, motores a explosão eficientes) e não rodoviário (trens, aviões, navios)","“bateria*” & “transporte” or “veículo”; “veículo* elétrico*”; motor* & gasolina or diesel or etanol & eficiente*"
4,"1","1.4","Outras Tecnologias de Eficiência Energética","Outras tecnologias de Eficiência Energética","eficiência & energética"
5,"1","1.9","Outras Eficiência Energética Não Alocado",NA,NA
6,"2","2.1","Petróleo e Gás Natural","Recuperação Avançada de Petróleo e Gás Natural; Refino, transporte e armazenamento de petróleo e gás natural; Extração e Produção de Petróleo e Gás Natural não convencional; Combustão de Petróleo e Gás Natural para a Geração de Energia Elétrica e Co-geração;","petróleo; óleo; “gás natural”; gás; “xisto betuminoso”; hidrocarboneto*; offshore; plataforma de petróleo; semissubmersível; fpso; “árvore de natal”; “construção naval”; reservatório*; “recuperação avançada”; geoengenharia; escoamento; bombeamento; risers; refino; “derivados de petróleo”; gasolina; “óleo diesel”; nafta; combustão & petróleo or “gás natural” or “derivados de petróleo”; “turbina a gás”; “turbina a vapor”; “turbina de avião”; “geradores a diesel”; dutos; oleodutos; tanques; gasodutos; GNL (gás natural liquefeito); armazenamento & petróleo or “gás natural” or “derivados de petróleo”;"
7,"2","2.2","Carvão Mineral","Extração, Processamento e Transporte de Carvão Mineral; Combustão e Conversão do Carvão Mineral;","carvão;  carvão mineral;  combustão & carvão; conversão & carvão;"
8,"2","2.3","Separação, Captura, Transporte e Armazenamento de CO2","Separação e Captura de CO2; Transporte e Armazenamento de CO2;","captura & CO2; separação & CO2 ; escoamento & CO2; armazenamento & CO2;"
9,"2","2.9","Outras tecnologias fósseis não alocadas","Outras tecnologias relacionadas com petróleo, gás natural e carvão mineral.",NA
10,"3","3.1","Energia solar","Energia solar (aquecimento e refrigeração, solar fotovoltaico, geração termosolar, outros de energia solar)","energia & solar ; aquecimento & solar ; arrefecimento & solar; fotovoltaica; “célula* solar*”; “módulo* fotovoltaico*”; “sistema* fotovoltaico*”; solar & térmica ; concentrador* & solar; heliotérmica; aplicaç* & alta & temperatura;"
