"","no_anp","titulo","empresa_responsavel","demais_proponentes","qualificacao","objetivo","area","tema","subtema","empresa_petrolifera_executora","empresa_brasileira_executora","instituicao_executora","unidade_de_pesquisa_executora","n_autorizacao","data_inicio","prazo","valor_clausula","executor_1"
"1","20001-4","AMPLIAÇÃO DO CONHECIMENTO E CAPACITAÇÃO TÉCNICA DA REDE DE EMPRESAS BRASILEIRAS FORNECEDORAS DO SETOR DE O&G FRENTE A NORMALIZAÇÃO TÉCNICA INTERNACIONAL - DIAGNÓSTICO DE BARREIRAS E IMPACTOS E PROMOÇÃO INTERNACIONAL","PETROGAL","PETROGAL","TIB - NORMALIZAÇÃO","Prover instrumentos e metodologias para aumentar a capacidade de participação da indústria brasileira no mercado nacional e internacional de O&G, através da expansão de informações técnicas sobre normas internacionais, eliminação das barreiras de comunicação entre a atividade de normalização e a industrial e da antecipação de possíveis barreiras técnicas, permitindo organizar um sistema de suporte à indústria nacional para que ela se prepare previamente para atender especificações e requisitos.","TEMAS TRANSVERSAIS","MATERIAIS","TECNOLOGIA DE MATERIAIS",NA,NA,"ORGANIZACAO NACIONAL DA INDUSTRIA DO PETROLEO - ONIP",NA,"0355/2016","31/08/2016",36,"R$ 2628848,00","ORGANIZACAO NACIONAL DA INDUSTRIA DO PETROLEO - ONIP"
"2","20002-2","CYCLOP WP1/3 INFRAESTRUTURA - IMPLANTAÇÃO DE INFRAESTRUTURA LABORATORIAL PARA ESTUDO EXPERIMENTAL E DE MODELAGEM DE BANCO DE CONDENSADO E MÉTODOS DE MITIGAÇÃO","REPSOL","REPSOL","INFRAESTRUTURA","Melhoria da infraestrutura laboratorial para permitir o estudo fundamental do processo de formação e escoamento de condensado de gás.  Esse estudo permitirá a determinação do efeito de diferentes variáveis nas curvas de permeabilidade relativa das fases líquida e gasosa e o estudo de diferentes estratégias químicas de mitigação de problemas que afetam o desempenho da produção em reservatórios com alto potencial de formação de condensados.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ACUMULAÇÕES NÃO CONVENCIONAIS (UNCONVENCIONAL RESERVOIRS)",NA,NA,"PUC-Rio","PUC-Rio - Laboratório de microhidrodinâmica e escoamento em meios porosos","0336/2016","01/07/2016",18,"R$ 1468498,99","PUC-Rio"
"3","20004-8","DESENVOLVIMENTO DE UM SIMULADOR PARA ESCOAMENTO MULTIFÁSICO E GARANTIA DE ESCOAMENTO - ALFA SIM","PETROGAL","PETROGAL","PESQUISA APLICADA","Pretende-se desenvolver um novo simulador, denominado ALFA Sim (Artificial Lift and Flow Assurance Simulator), suficientemente flexível para que os seus utilizadores possam testar novas correlações para escoamento multifásico e desenvolver modelos empíricos ajustados às condições e situações que enfrentam, customizando e adicionando módulos sem depender do desenvolvimento de novas versões ou de módulos específicos do software por parte do desenvolvedor.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","ENGENHARIA DE POÇO","ELEVAÇÃO ARTIFICIAL E ESCOAMENTO MULTIFÁSICO","PETROGAL","ENGINEERING SIMULATION AND SCIENTIFIC SOFTWARE LTDA",NA,NA,NA,"15/05/2016",42,"R$ 12115023,33",NA
"4","20005-5","TAILS - Desenvolvimento de Sistema de Estabilização de Sensor para Possibilitar Detecção de Vazamentos em Ambientes Dinâmicos","REPSOL","REPSOL","PROTÓTIPO OU UNIDADE PILOTO","O objetivo é desenvolver um protótipo de um sistema de estabilização capaz de absorver 90% da dinâmica de movimento de embarcações flutuantes, i.e FPSO. O sistema fará parte de um programa que visa monitorar integridade e detectar vazamentos. Assim, através do uso de um detector que hoje só funciona de forma estática, um sistema de estabilização será desenvolvido para o uso do mesmo em ambientes dinâmicos, permitindo assim detectar vazamentos de Óleo continuamente no mar ao redor de embarcações.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","MONITORAMENTO E CONTROLE DE INSTALAÇÕES ONSHORE E OFFSHORE","REPSOL","13ROBOTICS ROBOTICA LTDA - ME","UFRJ","UFRJ - GSCAR - Grupo de Simulação e Controle em Automação e Robótica",NA,"01/03/2016",29,"R$ 7302875,36","UFRJ"
"5","20006-3","RSB SPEED Fase 3: Modelo computacional destinado à imageamento sísmico 3D para execução em supercomputadores.","REPSOL","REPSOL","PESQUISA APLICADA","Desenvolver e testar o protótipo de um modelo computacional escalável e específico para execução em supercomputadores(HPC) destinado a geração de imagens sísmicas com dados 3D, baseados na equação de onda elástica em dados reais, de sísmica realizada na região do pré-sal brasileiro, com a finalidade de melhorar a aferição de velocidades da camada de sedimentos do pós-sal e consequente melhor imageamento do reservatório pré-sal.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS","REPSOL","GEO IMAGING SOLUCOES TECNOLOGICAS EM GEOCIENCIAS LTDA.","SENAI-BA","SENAI-BA - SENAI CIMATEC",NA,"15/03/2016",22,"R$ 5553796,23","SENAI-BA"
"6","20007-1","CYCLOP WP4 Infraestrutura - IMPLANTAÇÃO DE INFRAESTRUTURA LABORATORIAL PARA GERAÇÃO DE ROCHAS SINTÉTICAS 3D PARA ESTUDOS DE EOR","REPSOL","REPSOL","INFRAESTRUTURA","Este projeto visa adequar a infraestrutura do laboratório NUFER para atender as atividades do projeto de pesquisa aplicada denominado  """"Geração de Rochas Sintéticas 3D para Avaliação de EOR"""".","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","CARACTERIZAÇÃO E ENGENHARIA DE RESERVATÓRIOS",NA,NA,"UTFPR","UTFPR - NUFER - Núcleo de Manufatura Aditiva e Ferramental","0043/2017","26/06/2017",24,"R$ 655130,00","UTFPR"
"7","20008-9","Soluções Submarinas Enxutas para Águas Rasas","EQUINOR BRASIL","EQUINOR BRASIL","PESQUISA APLICADA","O mercado de águas profundas (DW) está cada vez mais importante para a Statoil, o que é mostrado pela operação de BM-C-33 e a aquisição da parte da Petrobras de BM-S-8. A comercialidade de campos de DW é um desafio para a indústria, proibindo o desenvolvimento e a implementação de tecnologia. Um projeto interno se propõe a pesquisar formas de aumentar a competitividade da Statoil, permitindo o desenvolvimento de campos submarinos de DW, até 3000 m, mais enxutos, limpos e modernos. O trabalho se","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS E EQUIPAMENTOS SUBMARINOS DE BOMBEAMENTO","EQUINOR BRASIL",NA,NA,NA,NA,"15/08/2016",10,"R$ 118221,60",NA
"8","20009-7","Inovação e melhoria do laboratório de Espectrometria de Gases Nobres (UNESP/Rio Claro) através de sistema multicoletor de aquisição e análise de gases nobres a serem aplicados em ocorrências de petróleo e gás natural.","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Capacitar a UNESP com estrutura analítica para a realização de análises isotópicas quantitativas de Gases Nobres em amostras de petróleo e em gases naturais. Para tanto pretende-se instalar um Espectrômetro de Gases Nobres multicoletor para análise de Gases Nobres em Ocorrências Petrolíferas. Pretende-se quantificar os isótopos de gases nobres em especial 3He, 4He; 36Ar, 40Ar; 20Ne, 21Ne.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS",NA,NA,"UNESP","UNESP - Núcleo de Cronologia e Cronometria - IGCE - DG - UNESP","0044/2017","31/07/2017",18,"R$ 5398851,61","UNESP"
"9","20011-3","Implantação de infraestrutura laboratorial para estudar condições de formação de segunda fase líquida em altas pressões e temperaturas, observando efeitos composicionais de óleos vivos e de recombinação de óleos mortos","REPSOL","REPSOL","INFRAESTRUTURA","Implantação de infraestrutura laboratorial para estudar condições de formação de segunda fase líquida em altas pressões e temperaturas, observando efeitos composicionais de óleos vivos e de recombinação de óleos mortos","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO",NA,NA,"UFC","UFC - Grupo de Pesquisa em Termofluidodinâmcia Aplicada (GPTA)","0659/2016","14/08/2017",36,"R$ 1154765,36","UFC"
"10","20013-9","INVERSÃO ESTOCÁSTICA MODIFICADA","PETROGAL","PETROGAL","PESQUISA APLICADA","As duas empresas pretendem desenvolver um projeto de cooperação com o objetivo de criar uma tecnologia de ¿Inversão Estocástica Modificada¿ e fluxo de trabalho associado. Pretende-se com essa tecnologia obter uma solução que permita melhorar a resolução das propriedades dos reservatórios, em especial dos reservatórios carbonáticos do pré-sal, combinando processos fundamentais de inversão determinística (pré-empilhamento) e estocástica.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS","PETROGAL","PARADIGM GEOPHYSICAL",NA,NA,NA,"21/09/2016",24,"R$ 6854072,07",NA
