CodProj;IdcSituacaoProjeto;;NomAgente;SigAgente;NumCPFCNPJ;DscChamPEDEstrategico;DscTituloProjeto;QtdMesesDuracaoPrevista;SigSegmentoSetorEletrico;SigTemaProjeto;SigFasInovacaoProjeto;SigTipoProdutoProjeto;VlrCustoTotalPrevisto;AnoCadastroPropostaProjeto;DatConclusaoProjeto;VlrCustoTotalAuditado
PD-00026-0002;CANCELADO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;PA - Modelo de Otimização Conjunta de Perdas Técnicas e Não Técnicas;18;D;EE;PA;SW;89634;2010;;
PD-00026-0411;CANCELADO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;Sistema Piloto de Gerenciamento Remoto de Consumidores Monofásicos - SISGERM;18;D;SC;DE;SM;445454,1;2011;;
PD-00026-2013;EM ATRASO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;;31;;;;;;2013;;
PD-00026-0211;CONCLUÍDO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;Planejamento de recursos operativos para o alcance de metas de indicadores de continuidade na rede de distribuição usando modelos de otimização com base na simulação estocástica de eventos discretos;25;D;OP;PA;CM;733840;2011;14/07/2015;695334,93
PD-00026-0311;EM ATRASO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;Desenvolvimento de tecnologia para a priorização de planos de expansão do sistema de alta e média tensão;37;D;PL;DE;SW;;2011;;
PD-00026-1913;EM EXECUÇÃO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;Modelo de operação otimizado para microssistema isolado de geração e distribuição de energia elétrica em região remota.;34;G;FA;CS;SM;14379261,5;2019;;
PD-00026-0116;EM ATRASO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;SARA - Sistema remoto de análise contínua do estado operacional de equipamentos de alta tensão através do monitoramento do óleo isolante via Impedância Elétrica em Rádio Freqüência;30;D;SC;DE;ME;2306882;2016;;
PD-00026-0111;EM ATRASO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;Estudo para o desenvolvimento de um controle PWM para sistemas solares fotovoltaicos conectados à rede;24;D;FA;DE;CD;318250;2017;;
PD-00026-0113;EM ATRASO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;Sistema Sinalizador de Falhas de Isoladores em Estruturas de Média e Alta Tensão utilizando ultrassom e radiofrequência de baixo custo;24;D;MF;DE;CD;850336;2013;;
PD-00026-0001;EM ATRASO;;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;ELETROACRE;4,07E+12;;;;;;;;;2018;;
